id,installation_type,imo,vessel_name,start_date,end_date,installation time,latitude,longitude,windfarm_name,turbine_id,turbine_latitude,turbine_longitude,,,
9257856,turbine,9621704,Wind Osprey,3/31/2014 14:03,4/3/2014 12:00,,55.06866,7.17314,DanTysk,9129775,55.06762,7.17444,,,
9257860,turbine,9621704,Wind Osprey,4/6/2014 14:00,4/10/2014 14:01,,55.07694,7.17528,DanTysk,9129765,55.0755,7.17606,,,
9257862,turbine,9621704,Wind Osprey,4/10/2014 15:00,4/11/2014 10:00,,55.06864,7.17306,DanTysk,9129775,55.06762,7.17444,,,
9257865,turbine,9621704,Wind Osprey,4/11/2014 12:00,4/16/2014 5:08,,55.08434,7.18189,DanTysk,9129755,55.08269,7.18255,,,
9257867,turbine,9621704,Wind Osprey,4/16/2014 6:08,4/19/2014 12:02,,55.09501,7.17023,DanTysk,9129745,55.09389,7.17124,,,
9257870,turbine,9621704,Wind Osprey,4/19/2014 15:05,4/23/2014 5:17,,55.07523,7.22512,DanTysk,9129767,55.0739,7.22732,,,
9257872,turbine,9621704,Wind Osprey,4/23/2014 7:02,4/24/2014 16:07,,55.11052,7.19159,DanTysk,9129733,55.10933,7.1943,,,
9257874,turbine,9621704,Wind Osprey,4/24/2014 18:08,4/25/2014 14:07,,55.09411,7.18804,DanTysk,9129747,55.09223,7.1887,,,
9257878,turbine,9621704,Wind Osprey,4/29/2014 3:00,5/2/2014 18:00,,55.12039,7.16877,DanTysk,9129721,55.1189,7.17032,,,
9257880,turbine,9621704,Wind Osprey,5/2/2014 19:00,5/4/2014 14:00,,55.12903,7.16816,DanTysk,9129715,55.12773,7.17002,,,
9257882,turbine,9621704,Wind Osprey,5/4/2014 16:00,5/5/2014 21:01,,55.16093,7.16872,DanTysk,9129685,55.15969,7.16897,,,
9257884,turbine,9621704,Wind Osprey,5/5/2014 23:00,5/7/2014 4:00,,55.15485,7.16729,DanTysk,9129691,55.15318,7.16923,,,
9257887,turbine,9621704,Wind Osprey,5/7/2014 6:48,5/7/2014 23:00,,55.15423,7.18416,DanTysk,9129693,55.15289,7.18606,,,
9257889,turbine,9621704,Wind Osprey,5/8/2014 1:00,5/8/2014 23:00,,55.14625,7.16771,DanTysk,9129701,55.14499,7.16959,,,
9257892,turbine,9621704,Wind Osprey,5/9/2014 2:01,5/15/2014 13:48,,55.11753,7.19352,DanTysk,9129725,55.11527,7.19417,,,
9257895,turbine,9621704,Wind Osprey,5/15/2014 17:29,5/16/2014 15:07,,55.06616,7.20055,DanTysk,9129783,55.06452,7.20034,,,
9257898,turbine,9621704,Wind Osprey,5/16/2014 18:00,5/17/2014 14:12,,55.06746,7.2265,DanTysk,9129779,55.06612,7.22906,,,
9257903,turbine,9621704,Wind Osprey,5/21/2014 4:32,5/21/2014 13:30,,55.10191,7.23864,DanTysk,9129743,55.10068,7.24041,,,
9257907,turbine,9621704,Wind Osprey,5/23/2014 7:53,5/23/2014 21:11,,55.13193,7.19139,DanTysk,9129711,55.13056,7.19056,,,
9257910,turbine,9621704,Wind Osprey,5/23/2014 23:02,5/24/2014 14:05,,55.12527,7.18534,DanTysk,9129719,55.12395,7.18649,,,
9257912,turbine,9621704,Wind Osprey,5/24/2014 16:02,5/25/2014 8:00,,55.10366,7.19346,DanTysk,9129739,55.10195,7.19491,,,
9257914,turbine,9621704,Wind Osprey,5/25/2014 10:00,5/26/2014 3:00,,55.07997,7.18699,DanTysk,9129763,55.07875,7.18923,,,
9257917,turbine,9621704,Wind Osprey,5/26/2014 5:00,5/29/2014 13:36,,55.06534,7.18528,DanTysk,9129785,55.0635,7.1871,,,
9257921,turbine,9621704,Wind Osprey,5/30/2014 3:18,5/30/2014 13:42,,55.10386,7.17261,DanTysk,9129737,55.10328,7.17176,,,
9257925,turbine,9621704,Wind Osprey,6/2/2014 22:02,6/3/2014 14:08,,55.1036,7.1726,DanTysk,9129737,55.10328,7.17176,,,
9257927,turbine,9621704,Wind Osprey,6/3/2014 16:00,6/4/2014 9:39,,55.13753,7.16742,DanTysk,9129709,55.1359,7.16981,,,
9257930,turbine,9621704,Wind Osprey,6/4/2014 15:41,6/7/2014 0:19,,55.07448,7.19373,DanTysk,9129769,55.07339,7.19353,,,
9257933,turbine,9621704,Wind Osprey,6/7/2014 6:24,6/7/2014 20:00,,55.07284,7.20639,DanTysk,9129773,55.07151,7.20869,,,
9257935,turbine,9621704,Wind Osprey,6/7/2014 22:09,6/8/2014 19:00,,55.08378,7.20521,DanTysk,9129757,55.08244,7.20781,,,
9257938,turbine,9621704,Wind Osprey,6/8/2014 21:00,6/9/2014 12:01,,55.09322,7.20479,DanTysk,9129749,55.09191,7.20677,,,
9257940,turbine,9621704,Wind Osprey,6/9/2014 13:09,6/10/2014 23:12,,55.09275,7.22512,DanTysk,9129751,55.09134,7.22619,,,
9257942,turbine,9621704,Wind Osprey,6/11/2014 0:00,6/12/2014 11:01,,55.10277,7.21587,DanTysk,9129741,55.10157,7.21791,,,
9257944,turbine,9621704,Wind Osprey,6/12/2014 12:07,6/14/2014 13:04,,55.11106,7.21591,DanTysk,9129731,55.10975,7.21852,,,
9257948,turbine,9621704,Wind Osprey,6/21/2014 10:00,6/24/2014 8:00,,55.0684,7.24021,DanTysk,9129777,55.06659,7.24132,,,
9257950,turbine,9621704,Wind Osprey,6/24/2014 9:01,6/25/2014 2:00,,55.07538,7.24531,DanTysk,9129771,55.07332,7.24688,,,
9257952,turbine,9621704,Wind Osprey,6/25/2014 4:00,6/26/2014 2:00,,55.08281,7.24293,DanTysk,9129759,55.08144,7.24461,,,
9257954,turbine,9621704,Wind Osprey,6/26/2014 3:00,6/26/2014 21:01,,55.09208,7.24095,DanTysk,9129753,55.09077,7.24306,,,
9257956,turbine,9621704,Wind Osprey,6/26/2014 23:01,6/27/2014 15:00,,55.10863,7.23664,DanTysk,9129735,55.10712,7.23822,,,
9257958,turbine,9621704,Wind Osprey,6/27/2014 16:01,6/28/2014 10:00,,55.11593,7.23478,DanTysk,9129727,55.11425,7.23642,,,
9257960,turbine,9621704,Wind Osprey,6/28/2014 11:02,6/29/2014 5:01,,55.12903,7.21195,DanTysk,9129717,55.12745,7.21491,,,
9257962,turbine,9621704,Wind Osprey,6/29/2014 7:02,6/29/2014 23:00,,55.14787,7.20887,DanTysk,9129695,55.14639,7.2109,,,
9257964,turbine,9621704,Wind Osprey,6/30/2014 0:00,6/30/2014 22:53,,55.15691,7.20661,DanTysk,9129687,55.1554,7.2089,,,
9257966,turbine,9621704,Wind Osprey,7/1/2014 7:00,7/1/2014 16:02,,55.1187,7.2135,DanTysk,9129723,55.11889,7.21705,,,
9257972,turbine,9621704,Wind Osprey,7/5/2014 8:22,7/6/2014 7:09,,55.17476,7.20153,DanTysk,9129673,55.17311,7.20336,,,
9257975,turbine,9621704,Wind Osprey,7/6/2014 10:31,7/7/2014 6:30,,55.1664,7.20458,DanTysk,9129679,55.16496,7.20692,,,
9257977,turbine,9621704,Wind Osprey,7/7/2014 8:01,7/8/2014 0:01,,55.13923,7.18747,DanTysk,9129703,55.13781,7.18943,,,
9257980,turbine,9621704,Wind Osprey,7/8/2014 3:23,7/10/2014 20:02,,55.14704,7.18585,DanTysk,9129699,55.14558,7.18782,,,
9257982,turbine,9621704,Wind Osprey,7/10/2014 22:20,7/11/2014 17:17,,55.1612,7.18549,DanTysk,9129683,55.16062,7.18395,,,
9257984,turbine,9621704,Wind Osprey,7/11/2014 20:04,7/12/2014 10:59,,55.17067,7.18129,DanTysk,9129677,55.16927,7.18359,,,
9257986,turbine,9621704,Wind Osprey,7/12/2014 12:02,7/13/2014 3:35,,55.17815,7.17904,DanTysk,9129671,55.17674,7.18123,,,
9257988,turbine,9621704,Wind Osprey,7/13/2014 5:08,7/15/2014 2:17,,55.18526,7.1773,DanTysk,9129665,55.18356,7.17979,,,
9257990,turbine,9621704,Wind Osprey,7/15/2014 3:09,7/16/2014 2:09,,55.19256,7.17524,DanTysk,9129659,55.19112,7.17746,,,
9257992,turbine,9621704,Wind Osprey,7/16/2014 3:14,7/16/2014 14:00,,55.19986,7.1733,DanTysk,9129655,55.19825,7.17564,,,
9257996,turbine,9621704,Wind Osprey,7/19/2014 12:21,7/21/2014 21:01,,55.20716,7.17126,DanTysk,9129649,55.20622,7.17297,,,
9257998,turbine,9621704,Wind Osprey,7/21/2014 22:04,7/22/2014 15:02,,55.21451,7.16949,DanTysk,9129645,55.21334,7.17129,,,
9258000,turbine,9621704,Wind Osprey,7/22/2014 16:02,7/23/2014 8:14,,55.22177,7.16723,DanTysk,9129639,55.22037,7.1696,,,
9258002,turbine,9621704,Wind Osprey,7/23/2014 9:56,7/24/2014 0:02,,55.23038,7.16604,DanTysk,9129631,55.22911,7.16751,,,
9258004,turbine,9621704,Wind Osprey,7/24/2014 2:44,7/25/2014 5:02,,55.23585,7.16988,DanTysk,9129627,55.23437,7.17035,,,
9258007,turbine,9621704,Wind Osprey,7/25/2014 9:05,7/26/2014 0:25,,55.23317,7.18591,DanTysk,9129629,55.23161,7.18607,,,
9258010,turbine,9621704,Wind Osprey,7/26/2014 2:05,7/26/2014 23:18,,55.22381,7.20988,DanTysk,9129637,55.22266,7.20952,,,
9258012,turbine,9621704,Wind Osprey,7/27/2014 18:16,7/28/2014 13:03,,55.20981,7.19242,DanTysk,9129647,55.20809,7.19483,,,
9258019,turbine,9621704,Wind Osprey,7/31/2014 17:00,8/1/2014 10:08,,55.18337,7.19913,DanTysk,9129667,55.18157,7.20134,,,
9258021,turbine,9621704,Wind Osprey,8/1/2014 11:08,8/2/2014 23:48,,55.19137,7.19643,DanTysk,9129661,55.19009,7.19869,,,
9258023,turbine,9621704,Wind Osprey,8/3/2014 4:28,8/3/2014 14:09,,55.20047,7.1938,DanTysk,9129653,55.19936,7.19597,,,
9258027,turbine,9621704,Wind Osprey,8/4/2014 9:00,8/4/2014 22:00,,55.23046,7.19934,DanTysk,9129633,55.2287,7.19967,,,
9258029,turbine,9621704,Wind Osprey,8/4/2014 23:00,8/5/2014 15:01,,55.21526,7.20988,DanTysk,9129643,55.21368,7.21216,,,
9258031,turbine,9621704,Wind Osprey,8/5/2014 16:00,8/6/2014 11:00,,55.20668,7.2117,DanTysk,9129651,55.20517,7.21385,,,
9258033,turbine,9621704,Wind Osprey,8/6/2014 12:01,8/7/2014 17:00,,55.19815,7.21386,DanTysk,9129657,55.19669,7.21603,,,
9258035,turbine,9621704,Wind Osprey,8/7/2014 18:00,8/8/2014 12:01,,55.18962,7.21616,DanTysk,9129663,55.18843,7.21891,,,
9258049,turbine,9621704,Wind Osprey,8/15/2014 12:00,8/21/2014 14:00,,55.16421,7.22269,DanTysk,9129681,55.16292,7.22461,,,
9258051,turbine,9621704,Wind Osprey,8/21/2014 15:00,8/22/2014 20:00,,55.15569,7.22497,DanTysk,9129689,55.15413,7.22716,,,
9258053,turbine,9621704,Wind Osprey,8/22/2014 21:00,8/24/2014 22:00,,55.1472,7.22693,DanTysk,9129697,55.14592,7.22862,,,
9258055,turbine,9621704,Wind Osprey,8/24/2014 23:00,8/25/2014 14:00,,55.13896,7.22849,DanTysk,9129705,55.13749,7.23128,,,
9258058,turbine,9621704,Wind Osprey,8/25/2014 16:00,8/26/2014 8:03,,55.13168,7.2305,DanTysk,9129713,55.13008,7.233,,,
9258061,turbine,9621704,Wind Osprey,8/26/2014 19:01,8/27/2014 1:00,,55.18106,7.21839,DanTysk,9129669,55.1797,7.22085,,,
9258066,turbine,9621704,Wind Osprey,9/1/2014 9:06,9/1/2014 23:07,,55.09236,7.22182,DanTysk,9129751,55.09134,7.22619,,,
9258082,turbine,9621704,Wind Osprey,9/8/2014 13:05,9/8/2014 23:35,,55.21679,7.1868,DanTysk,9129641,55.21681,7.19033,,,
9258201,foundation,9621704,Wind Osprey,7/1/2015 0:11,7/4/2015 0:02,,54.06039,6.00819,Gemini,9131599,54.05938,6.01044,,,
9258203,foundation,9621704,Wind Osprey,7/4/2015 1:05,7/6/2015 8:00,,54.05993,6.02372,Gemini,9131595,54.05957,6.02414,,,
9258205,foundation,9621704,Wind Osprey,7/6/2015 12:59,7/7/2015 13:00,,54.06603,6.0324,Gemini,9131575,54.06651,6.03302,,,
9258209,foundation,9621704,Wind Osprey,7/10/2015 18:00,7/12/2015 1:01,,54.07087,6.01431,Gemini,9131565,54.0711,6.01671,,,
9258212,foundation,9621704,Wind Osprey,7/12/2015 3:00,7/13/2015 3:00,,54.06188,6.03581,Gemini,9131589,54.0607,6.0358,,,
9258214,foundation,9621704,Wind Osprey,7/13/2015 4:01,7/14/2015 2:00,,54.04947,6.03993,Gemini,9131645,54.04939,6.04283,,,
9258216,foundation,9621704,Wind Osprey,7/14/2015 3:00,7/14/2015 19:03,,54.06194,6.03571,Gemini,9131589,54.0607,6.0358,,,
9258220,foundation,9621704,Wind Osprey,7/16/2015 16:00,7/17/2015 15:39,,54.04681,6.00453,Gemini,9131659,54.04602,6.00479,,,
9258222,foundation,9621704,Wind Osprey,7/17/2015 18:00,7/18/2015 10:30,,54.04789,6.01628,Gemini,9131647,54.0488,6.01661,,,
9258225,foundation,9621704,Wind Osprey,7/18/2015 22:02,7/19/2015 9:42,,54.05994,6.02373,Gemini,9131595,54.05957,6.02414,,,
9258229,foundation,9621704,Wind Osprey,7/20/2015 20:23,7/22/2015 5:00,,54.07474,6.05514,Gemini,9131559,54.07407,6.05512,,,
9258231,foundation,9621704,Wind Osprey,7/22/2015 6:45,7/23/2015 4:30,,54.07195,6.02702,Gemini,9131563,54.07246,6.02982,,,
9258234,foundation,9621704,Wind Osprey,7/23/2015 8:32,7/24/2015 0:17,,54.03518,6.01066,Gemini,9131719,54.03419,6.01151,,,
9258241,foundation,9621704,Wind Osprey,7/26/2015 12:04,7/27/2015 14:32,,54.01579,6.02147,Gemini,9131789,54.01611,6.02164,,,
9258243,foundation,9621704,Wind Osprey,7/27/2015 17:01,7/28/2015 21:00,,54.05008,5.88551,Gemini,9131639,54.05068,5.88577,,,
9258249,foundation,9621704,Wind Osprey,7/31/2015 4:00,8/1/2015 11:00,,54.05527,5.86458,Gemini,9131619,54.05451,5.86659,,,
9258251,foundation,9621704,Wind Osprey,8/1/2015 12:04,8/2/2015 10:46,,54.06028,5.86236,Gemini,9131597,54.05949,5.86278,,,
9258253,foundation,9621704,Wind Osprey,8/2/2015 11:43,8/3/2015 2:04,,54.05566,5.88207,Gemini,9131613,54.05565,5.88211,,,
9258258,foundation,9621704,Wind Osprey,8/4/2015 15:00,8/5/2015 12:11,,54.05289,5.85198,Gemini,9131627,54.0531,5.85192,,,
9258260,foundation,9621704,Wind Osprey,8/5/2015 13:00,8/6/2015 7:14,,54.04326,5.8616,Gemini,9131671,54.04391,5.86114,,,
9258262,foundation,9621704,Wind Osprey,8/6/2015 9:00,8/7/2015 2:18,,54.06027,5.87778,Gemini,9131593,54.06058,5.87782,,,
9258266,foundation,9621704,Wind Osprey,8/8/2015 11:01,8/9/2015 15:07,,54.04433,5.90427,Gemini,9131667,54.04499,5.90501,,,
9258268,foundation,9621704,Wind Osprey,8/9/2015 16:00,8/10/2015 8:01,,54.04504,5.88945,Gemini,9131663,54.04547,5.88998,,,
9258270,foundation,9621704,Wind Osprey,8/10/2015 9:01,8/11/2015 2:31,,54.0442,5.87548,Gemini,9131669,54.04468,5.87564,,,
9258276,foundation,9621704,Wind Osprey,8/12/2015 13:29,8/13/2015 5:02,,54.06262,5.90796,Gemini,9131583,54.06336,5.9084,,,
9258278,foundation,9621704,Wind Osprey,8/13/2015 6:03,8/14/2015 8:34,,54.04828,5.91535,Gemini,9131653,54.04734,5.91733,,,
9258280,foundation,9621704,Wind Osprey,8/14/2015 10:09,8/15/2015 1:00,,54.03562,5.88417,Gemini,9131715,54.03491,5.88409,,,
9258286,foundation,9621704,Wind Osprey,8/16/2015 10:35,8/17/2015 4:03,,54.04165,5.91802,Gemini,9131677,54.04225,5.92032,,,
9258289,foundation,9621704,Wind Osprey,8/17/2015 6:00,8/17/2015 22:00,,54.03101,5.92419,Gemini,9131729,54.03142,5.92627,,,
9258291,foundation,9621704,Wind Osprey,8/17/2015 23:00,8/18/2015 13:51,,54.02558,5.92937,Gemini,9131755,54.02613,5.93029,,,
9258295,foundation,9621704,Wind Osprey,8/19/2015 22:00,8/20/2015 15:01,,54.01632,5.9358,Gemini,9131801,54.01549,5.93614,,,
9258298,foundation,9621704,Wind Osprey,8/20/2015 17:00,8/21/2015 12:01,,54.02283,5.91751,Gemini,9131769,54.02205,5.91763,,,
9258300,foundation,9621704,Wind Osprey,8/21/2015 14:29,8/22/2015 5:02,,54.03623,5.89738,Gemini,9131711,54.03541,5.89756,,,
9258308,foundation,9621704,Wind Osprey,8/23/2015 14:05,8/24/2015 15:00,,54.03221,5.86131,Gemini,9131731,54.03127,5.86211,,,
9258310,foundation,9621704,Wind Osprey,8/24/2015 16:00,8/27/2015 5:52,,54.05648,5.81668,Gemini,9131615,54.05556,5.81669,,,
9258312,foundation,9621704,Wind Osprey,8/27/2015 7:10,8/27/2015 19:13,,54.05695,5.8324,Gemini,9131609,54.05697,5.83229,,,
9258317,foundation,9621704,Wind Osprey,8/29/2015 3:01,8/29/2015 17:00,,54.05923,5.84642,Gemini,9131601,54.05826,5.84723,,,
9258319,foundation,9621704,Wind Osprey,8/29/2015 19:03,8/30/2015 9:03,,54.05137,5.82061,Gemini,9131641,54.05051,5.82312,,,
9258322,foundation,9621704,Wind Osprey,8/30/2015 11:00,8/30/2015 23:02,,54.02616,5.85156,Gemini,9131757,54.02561,5.8541,,,
9258330,foundation,9621704,Wind Osprey,9/1/2015 10:22,9/4/2015 8:00,,54.05222,5.91192,Gemini,9131629,54.05271,5.91441,,,
9258336,foundation,9621704,Wind Osprey,9/4/2015 15:20,9/7/2015 9:14,,54.04734,5.84114,Gemini,9131657,54.04655,5.84365,,,
9258338,foundation,9621704,Wind Osprey,9/7/2015 10:01,9/8/2015 4:00,,54.05253,5.83555,Gemini,9131633,54.05157,5.83753,,,
9258342,foundation,9621704,Wind Osprey,9/9/2015 9:01,9/10/2015 4:13,,54.0249,5.88303,Gemini,9131761,54.02503,5.88615,,,
9258345,foundation,9621704,Wind Osprey,9/10/2015 7:03,9/10/2015 22:00,,54.0494,5.85668,Gemini,9131649,54.04868,5.85745,,,
9258347,foundation,9621704,Wind Osprey,9/11/2015 0:00,9/11/2015 13:00,,54.05703,5.89686,Gemini,9131611,54.05628,5.89718,,,
9258351,foundation,9621704,Wind Osprey,9/12/2015 16:03,9/13/2015 8:08,,54.00982,5.87345,Gemini,9131817,54.0103,5.873,,,
9258353,foundation,9621704,Wind Osprey,9/13/2015 12:07,9/13/2015 23:03,,54.03671,6.06303,Gemini,9131707,54.03548,6.0638,,,
9258355,foundation,9621704,Wind Osprey,9/14/2015 0:16,9/14/2015 11:54,,54.04031,6.07421,Gemini,9131693,54.03941,6.0752,,,
9258363,foundation,9621704,Wind Osprey,9/16/2015 2:41,9/16/2015 17:13,,54.03412,6.07849,Gemini,9131721,54.03372,6.07862,,,
9258366,foundation,9621704,Wind Osprey,9/16/2015 20:01,9/18/2015 7:00,,54.01761,6.07472,Gemini,9131783,54.01685,6.07483,,,
9258368,foundation,9621704,Wind Osprey,9/18/2015 12:03,9/18/2015 20:22,,54.00998,6.07786,Gemini,9131813,54.01052,6.07821,,,
9258372,foundation,9621704,Wind Osprey,9/19/2015 20:02,9/20/2015 14:06,,54.00327,6.08414,Gemini,9131847,54.00435,6.08179,,,
9258374,foundation,9621704,Wind Osprey,9/20/2015 15:06,9/21/2015 5:01,,54.00404,6.03963,Gemini,9131843,54.00449,6.04188,,,
9258376,foundation,9621704,Wind Osprey,9/21/2015 6:27,9/21/2015 19:01,,54.0108,6.03876,Gemini,9131821,54.01015,6.03876,,,
9258380,foundation,9621704,Wind Osprey,9/22/2015 20:00,9/23/2015 10:13,,54.01667,6.08841,Gemini,9131791,54.01606,6.08916,,,
9258382,foundation,9621704,Wind Osprey,9/23/2015 11:27,9/24/2015 8:00,,54.02245,6.08516,Gemini,9131771,54.02186,6.08562,,,
9258385,foundation,9621704,Wind Osprey,9/24/2015 10:09,9/25/2015 6:00,,54.02702,6.07956,Gemini,9131745,54.02777,6.0818,,,
9258389,foundation,9621704,Wind Osprey,9/26/2015 10:23,9/27/2015 2:00,,54.03622,5.8393,Gemini,9131709,54.03541,5.84164,,,
9258391,foundation,9621704,Wind Osprey,9/27/2015 3:06,9/27/2015 16:01,,54.0413,5.83311,Gemini,9131683,54.04053,5.83554,,,
9258394,foundation,9621704,Wind Osprey,9/27/2015 18:00,9/28/2015 7:05,,54.03455,5.86856,Gemini,9131717,54.0343,5.87152,,,
9258399,foundation,9621704,Wind Osprey,9/30/2015 17:16,10/1/2015 9:01,,54.0398,5.86625,Gemini,9131697,54.03879,5.8671,,,
9258401,foundation,9621704,Wind Osprey,10/1/2015 11:01,10/2/2015 1:00,,54.02716,5.91339,Gemini,9131747,54.02772,5.91357,,,
9258403,foundation,9621704,Wind Osprey,10/2/2015 2:00,10/2/2015 15:00,,54.03339,5.91125,Gemini,9131723,54.03354,5.91064,,,
9258407,foundation,9621704,Wind Osprey,10/3/2015 17:19,10/4/2015 11:40,,54.00353,6.09429,Gemini,9131853,54.00415,6.09567,,,
9258409,foundation,9621704,Wind Osprey,10/4/2015 13:22,10/5/2015 3:00,,54.00555,6.05427,Gemini,9131845,54.00447,6.05581,,,
9258411,foundation,9621704,Wind Osprey,10/5/2015 7:01,10/5/2015 20:00,,54.03056,5.88027,Gemini,9131737,54.0297,5.88086,,,
9258415,foundation,9621704,Wind Osprey,10/9/2015 11:00,10/10/2015 1:39,,54.01081,5.89729,Gemini,9131829,54.01,5.89907,,,
9258417,foundation,9621704,Wind Osprey,10/10/2015 3:15,10/10/2015 17:11,,54.01596,5.9085,Gemini,9131805,54.01493,5.9078,,,
9258420,foundation,9621704,Wind Osprey,10/10/2015 19:20,10/11/2015 9:03,,54.01716,5.92144,Gemini,9131787,54.0163,5.92167,,,
9258424,foundation,9621704,Wind Osprey,10/12/2015 14:24,10/13/2015 5:02,,54.01651,5.88019,Gemini,9131795,54.0157,5.88078,,,
9258426,foundation,9621704,Wind Osprey,10/13/2015 6:04,10/13/2015 21:00,,54.02181,5.87424,Gemini,9131779,54.02074,5.87544,,,
9258428,foundation,9621704,Wind Osprey,10/13/2015 22:01,10/14/2015 14:04,,54.03122,5.89547,Gemini,9131735,54.03044,5.89656,,,
9258433,foundation,9621704,Wind Osprey,10/15/2015 19:00,10/16/2015 16:00,,54.02109,5.9041,Gemini,9131855,54.02107,5.90356,,,
9258435,foundation,9621704,Wind Osprey,10/16/2015 17:00,10/17/2015 9:01,,54.01592,5.89466,Gemini,9131803,54.01516,5.89437,,,
9258437,foundation,9621704,Wind Osprey,10/17/2015 11:00,10/18/2015 0:00,,54.01649,5.86597,Gemini,9131793,54.01572,5.86654,,,
9258479,turbine,9621704,Wind Osprey,2/25/2016 13:23,2/27/2016 4:17,,54.06584,6.03288,Gemini,9131575,54.06651,6.03302,,,
9258481,turbine,9621704,Wind Osprey,2/27/2016 6:12,2/28/2016 17:05,,54.05822,6.02312,Gemini,9131595,54.05957,6.02414,,,
9258483,turbine,9621704,Wind Osprey,2/28/2016 18:00,3/1/2016 1:14,,54.05214,6.02673,Gemini,9131625,54.05349,6.02684,,,
9258486,turbine,9621704,Wind Osprey,3/1/2016 3:11,3/4/2016 0:00,,54.04774,6.03149,Gemini,9131655,54.0469,6.03093,,,
9258492,turbine,9621704,Wind Osprey,3/8/2016 10:06,3/11/2016 7:51,,54.0658,6.0211,Gemini,9131577,54.06551,6.02001,,,
9258495,turbine,9621704,Wind Osprey,3/11/2016 11:02,3/12/2016 21:02,,54.05998,6.03538,Gemini,9131589,54.0607,6.0358,,,
9258497,turbine,9621704,Wind Osprey,3/12/2016 22:04,3/14/2016 2:01,,54.05433,6.03863,Gemini,9131617,54.0551,6.03925,,,
9258499,turbine,9621704,Wind Osprey,3/14/2016 3:10,3/15/2016 3:00,,54.04885,6.0426,Gemini,9131645,54.04939,6.04283,,,
9258505,turbine,9621704,Wind Osprey,3/26/2016 20:03,3/31/2016 14:17,,54.04146,6.0351,Gemini,9131685,54.04045,6.03459,,,
9258507,turbine,9621704,Wind Osprey,3/31/2016 16:02,4/1/2016 16:02,,54.04388,6.02038,Gemini,9131675,54.04294,6.01983,,,
9258510,turbine,9621704,Wind Osprey,4/1/2016 18:02,4/3/2016 0:00,,54.06015,6.01105,Gemini,9131599,54.05938,6.01044,,,
9258512,turbine,9621704,Wind Osprey,4/3/2016 1:07,4/4/2016 22:01,,54.05442,6.01435,Gemini,9131621,54.05442,6.01301,,,
9258514,turbine,9621704,Wind Osprey,4/4/2016 23:02,4/5/2016 22:07,,54.06547,6.00814,Gemini,9131579,54.06502,6.00653,,,
9258516,turbine,9621704,Wind Osprey,4/5/2016 23:03,4/8/2016 23:03,,54.07091,6.00489,Gemini,9131567,54.07043,6.0041,,,
9258519,turbine,9621704,Wind Osprey,4/9/2016 2:00,4/10/2016 8:00,,54.06663,6.04665,Gemini,9131573,54.06685,6.04615,,,
9258522,turbine,9621704,Wind Osprey,4/10/2016 10:01,4/14/2016 9:00,,54.07185,6.01758,Gemini,9131565,54.0711,6.01671,,,
9258527,turbine,9621704,Wind Osprey,4/22/2016 0:18,4/22/2016 20:20,,54.07373,6.04322,Gemini,9131561,54.07332,6.04233,,,
9258529,turbine,9621704,Wind Osprey,4/22/2016 22:15,4/26/2016 20:02,,54.03387,6.03707,Gemini,9131713,54.03498,6.03762,,,
9258531,turbine,9621704,Wind Osprey,4/26/2016 21:03,4/28/2016 12:39,,54.03093,6.02583,Gemini,9131727,54.03165,6.02578,,,
9258533,turbine,9621704,Wind Osprey,4/28/2016 14:56,5/1/2016 8:29,,54.02856,6.01597,Gemini,9131743,54.02821,6.015,,,
9258535,turbine,9621704,Wind Osprey,5/1/2016 10:33,5/2/2016 1:03,,54.02267,6.01939,Gemini,9131767,54.02237,6.01807,,,
9258537,turbine,9621704,Wind Osprey,5/2/2016 2:04,5/4/2016 1:04,,54.0165,6.02283,Gemini,9131789,54.01611,6.02164,,,
9258539,turbine,9621704,Wind Osprey,5/4/2016 2:01,5/5/2016 13:16,,54.01089,6.02621,Gemini,9131815,54.01051,6.02509,,,
9258542,turbine,9621704,Wind Osprey,5/5/2016 16:07,5/6/2016 22:00,,54.00509,6.02959,Gemini,9131849,54.00433,6.02883,,,
9258546,turbine,9621704,Wind Osprey,5/17/2016 12:02,5/18/2016 11:02,,54.02353,6.07201,Gemini,9131763,54.02305,6.07095,,,
9258549,turbine,9621704,Wind Osprey,5/18/2016 13:07,5/19/2016 14:08,,54.03307,6.05328,Gemini,9131725,54.03266,6.05242,,,
9258551,turbine,9621704,Wind Osprey,5/19/2016 15:01,5/21/2016 13:02,,54.02906,6.04219,Gemini,9131741,54.02873,6.04103,,,
9258555,turbine,9621704,Wind Osprey,5/28/2016 7:00,5/28/2016 22:06,,54.03031,6.04004,Gemini,9131741,54.02873,6.04103,,,
9258557,turbine,9621704,Wind Osprey,5/28/2016 23:00,5/30/2016 21:08,,54.02204,6.03288,Gemini,9131775,54.02119,6.03259,,,
9258559,turbine,9621704,Wind Osprey,5/30/2016 22:08,6/1/2016 14:02,,54.02407,6.04439,Gemini,9131765,54.02255,6.04477,,,
9258562,turbine,9621704,Wind Osprey,6/1/2016 17:14,6/3/2016 15:09,,54.01695,6.04917,Gemini,9131785,54.01669,6.04799,,,
9258564,turbine,9621704,Wind Osprey,6/3/2016 16:00,6/4/2016 14:00,,54.01583,6.03659,Gemini,9131797,54.01565,6.03544,,,
